""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"TC0600003582.mm.1"	"Igkv5-37"	1.1991189093224	0.460307169360114	1.93793064928468	1.77319186141931	3.88454965486068	0.00673323206397714	0.0165750920178663	-2.79318948474811	"up"
"TC0800001798.mm.1"	"Defb12; Defb37"	0.522779936892378	0.200622936979958	0.844936936804798	1.63869830121338	3.88385988067058	0.00673899087065167	0.0165855236263072	-2.79411466425664	"up"
"TC0700003635.mm.1"	"4933430H16Rik"	0.58651968866744	0.225025820959399	0.948013556375481	1.66705645748035	3.88323679886742	0.00674419752732924	0.0165953409770166	-2.79495044887728	"up"
"TC1400000735.mm.1"	"Traj25"	0.665243328782294	0.25516672808033	1.07531992948426	6.77706909161506	3.88264561772762	0.00674914169990022	0.0166037596745503	-2.79574349389959	"up"
"TC1800000013.mm.1"	"4833419F23Rik"	0.576359757070566	0.221044681631685	0.931674832509447	1.74157159438065	3.8823280428729	0.00675179928985387	0.0166095481266739	-2.7961695279464	"up"
"TC1500000374.mm.1"	"Aard"	0.79037891769945	0.30308631415088	1.27767152124802	1.9685757615384	3.88201976001606	0.00675438022080235	0.0166128985452454	-2.79658311028489	"up"
"TC1200001356.mm.1"	"Gm3613"	0.691636410498749	0.265196755788315	1.11807606520918	2.93734572667885	3.88179394939975	0.00675627138557098	0.0166160506321852	-2.79688605910259	"up"
"TC1100001290.mm.1"	"Appbp2os"	0.533723322279145	0.204419985945319	0.863026658612971	4.14214373137881	3.87911150463195	0.00677878143753888	0.0166586345979351	-2.80048539709324	"up"
"TC0X00000138.mm.1"	"Gm14484"	0.83030466101432	0.317943066256738	1.3426662557719	1.81240744371674	3.87858327808308	0.00678322381792329	0.0166684007022005	-2.80119429865817	"up"
"TC1300000732.mm.1"	"Gm24999"	0.571237699527913	0.218738723096717	0.923736675959108	3.41460466814675	3.87856625712083	0.00678336701724913	0.0166684007022005	-2.80121714214309	"up"
"TC1400000974.mm.1"	"Gm27223; RP24-67I21.6"	0.602647928139471	0.230743819355864	0.974552036923078	3.34504924525698	3.87833129774583	0.00678534409712834	0.0166725073519722	-2.80153248051707	"up"
"TC0500000640.mm.1"	"Uchl1"	-1.48178463055669	-2.39629352383188	-0.567275737281497	5.39200551898554	-3.87801394341277	0.00678801549962304	0.0166753132777455	-2.80195841340953	"down"
"TC0X00003231.mm.1"	"Magea2"	0.666524158802793	0.255129543128103	1.07791877447748	2.79001729436946	3.87765802649367	0.00679101288640142	0.0166781671617465	-2.80243611959235	"up"
"TC0900002629.mm.1"	"Gm25045"	0.592467245186359	0.226745911517312	0.958188578855406	1.45943738743784	3.87727195585872	0.00679426585991727	0.0166831498170141	-2.80295431798171	"up"
"TC1800000516.mm.1"	"Prr16"	0.900929656613016	0.344593848229787	1.45726546499625	1.65780106059936	3.87584216158378	0.0068063280133418	0.0167014838548485	-2.80487362559058	"up"
"TC1800000118.mm.1"	"8430422H06Rik"	0.830990925257098	0.317690744246306	1.34429110626789	1.83369541415442	3.87469102983448	0.00681605638827222	0.0167200872047101	-2.80641907706914	"up"
"TC0100002336.mm.1"	"Gm25240"	-2.20615736101987	-3.5689946518279	-0.843320070211845	10.4002716407184	-3.87440210238904	0.00681850055228942	0.0167216381353871	-2.80680700604801	"down"
"TC0X00000289.mm.1"	"Gm2863"	0.605949360081955	0.231538925326024	0.980359794837886	3.05148505325832	3.87347360417378	0.00682636164809905	0.0167346983748404	-2.80805373619496	"up"
"TC0400000021.mm.1"	"A830012C17Rik; RP23-76M24.3"	0.65055243683912	0.248569538357178	1.05253533532106	2.12761344605722	3.8733518031588	0.00682739361048872	0.0167346983748404	-2.80821729217039	"up"
"TC0300002740.mm.1"	"Gm12522"	0.757521550870015	0.289436706446867	1.22560639529316	3.60564616822585	3.87331329391219	0.00682771991678266	0.0167346983748404	-2.80826900332223	"up"
"TC1000000346.mm.1"	"Rnu3a"	-0.631563407353434	-1.02190176344697	-0.241225051259898	3.35291791825945	-3.87246894777636	0.00683487875236935	0.016746666380811	-2.80940286474678	"down"
"TC0700004134.mm.1"	"Copb1"	-1.38009776551277	-2.23315318771794	-0.527042343307605	2.83947471291512	-3.87208443070988	0.00683814163426744	0.0167524021683649	-2.80991926124901	"down"
"TC1800001197.mm.1"	"Cd14"	0.569291337842599	0.217344801095597	0.921237874589601	2.6242498403666	3.87141825333766	0.00684379864193596	0.0167632476261007	-2.81081396995926	"up"
"TC1700000683.mm.1"	"H2-Q3"	0.574105107002597	0.219153213325589	0.929057000679605	4.15207486269267	3.87109764624593	0.00684652298777144	0.0167684137907886	-2.81124458337818	"up"
"TSUnmapped00000054.mm.1"	"Mrgpra8"	0.669488572575195	0.255548691044842	1.08342845410555	1.74890899011913	3.87095489644854	0.00684773638175572	0.0167698787562907	-2.81143631801181	"up"
"TC1000000193.mm.1"	"Vnn1"	0.653781185479959	0.249500714101064	1.05806165685885	1.90689745662246	3.87045362753356	0.00685199911205875	0.0167788105109501	-2.81210962111826	"up"
"TC0700003927.mm.1"	"4931431F19Rik"	0.690784079610535	0.263586052020971	1.1179821072001	1.83666365230089	3.8701276933671	0.00685477238085544	0.0167833398414531	-2.81254743417685	"up"
"TC0900002219.mm.1"	"Gm10680"	0.566882446207786	0.216131916310194	0.917632976105378	2.46801855644094	3.86818188561343	0.00687135430913115	0.0168171414567646	-2.81516146592769	"up"
"TC0800002011.mm.1"	"Smim18"	0.605315105026087	0.230674394318555	0.979955815733618	1.57730441049547	3.86704081921371	0.00688109882772427	0.0168364551837774	-2.81669464408033	"up"
"TC0500000220.mm.1"	"1700022A21Rik"	0.513831668433858	0.195735021926214	0.831928314941501	3.16601036597189	3.86610807299215	0.00688907560345455	0.0168514344183219	-2.81794805286071	"up"
"TC0900002879.mm.1"	"Rnf7"	-0.660097462428155	-1.06879224270121	-0.251402682155102	3.81858283289936	-3.86563803484402	0.00689309918324911	0.0168582507346632	-2.81857972901488	"down"
"TC0X00000354.mm.1"	"Rhox5"	0.507038367315867	0.193100091465226	0.820976643166508	2.22946739444901	3.86552750830164	0.00689404567780728	0.0168598091642361	-2.8187282682764	"up"
"TC0500002350.mm.1"	"4930405L22Rik"	0.518052239990856	0.197291062866737	0.838813417114976	1.67421707926568	3.86548480915667	0.00689441137036328	0.0168598339437148	-2.81878565314148	"up"
"TC1000000200.mm.1"	"Taar7c-ps"	0.641210487581284	0.244190556539435	1.03823041862313	2.26604282920539	3.86545410329132	0.00689467436084738	0.0168598339437148	-2.818826919981	"up"
"TC0X00000120.mm.1"	"Hypm"	0.590552869784009	0.224867679495908	0.95623806007211	2.03493118498858	3.86512572717064	0.00689748753534605	0.0168623941654612	-2.81926824613064	"up"
"TC0100002895.mm.1"	"Mir3473f"	-0.622806614556546	-1.00847419587025	-0.237139033242846	5.80896839913476	-3.8650248964262	0.00689835159805725	0.0168623941654612	-2.81940376223171	"down"
"TC0700000102.mm.1"	"Mir5620"	0.508734095310988	0.19363586129375	0.823832329328227	3.53918953206686	3.8641776957968	0.00690561632893601	0.0168767492403666	-2.82054245328013	"up"
"TC1100000971.mm.1"	"Rpl23a-ps2"	-0.700418350063485	-1.13426875304913	-0.26656794707784	3.57723133694283	-3.86393421632756	0.00690770571560098	0.0168810987304555	-2.82086972385493	"down"
"TC0900002636.mm.1"	"BC065403"	0.517846211899865	0.197049243947627	0.838643179852103	1.5800954677237	3.86351642070789	0.00691129259143946	0.0168876448085755	-2.82143131937651	"up"
"TC0400001902.mm.1"	"Gm13158"	0.527121594863246	0.200578476211023	0.853664713515468	4.18837069015622	3.86351396134764	0.00691131371169461	0.0168876448085755	-2.82143462529031	"up"
"TC1800000316.mm.1"	"1700066B19Rik"	0.507359755351267	0.193024613569474	0.821694897133059	1.93380148851171	3.86309414533531	0.00691492000606621	0.0168949421482025	-2.82199896166141	"up"
"TC0400002107.mm.1"	"Rnf223"	0.544065030545825	0.206957144502291	0.881172916589359	3.36865195775179	3.86272787975642	0.00691806798104775	0.0169011184869964	-2.82249133342846	"up"
"TC0300001081.mm.1"	"Rhoc"	-0.81634397615691	-1.32236188074489	-0.310326071568928	4.65752556958021	-3.86117532471091	0.00693142935217293	0.0169287283654153	-2.82457864824552	"down"
"TC1500000901.mm.1"	"Cntn1"	-1.03787112058342	-1.68122012348517	-0.394522117681658	4.17495141255071	-3.86108185692932	0.00693223464498305	0.0169296586074996	-2.82470432082968	"down"
"TC0400000760.mm.1"	"Gm11231"	0.585168649567846	0.222345513317662	0.947991785818031	1.70878646203737	3.86009764984519	0.00694072054479054	0.0169473456856898	-2.82602771661825	"up"
"TC1200002059.mm.1"	"Gm26571"	0.706701667001422	0.268483400488584	1.14491993351426	4.58412173762038	3.85973824110353	0.00694382223469488	0.0169511228920405	-2.82651102310826	"up"
"TC1100000705.mm.1"	"Olfr311"	0.540697387346463	0.20540135971746	0.875993414975466	2.50306383604479	3.85956248529891	0.00694533955785973	0.0169540677349617	-2.8267473732712	"up"
"TC1100002890.mm.1"	"Gm12612"	0.659178055852191	0.2503866797299	1.06796943197448	3.65575695385997	3.85934167717321	0.00694724633986718	0.0169564444580936	-2.82704431439495	"up"
"TC1200000884.mm.1"	"Gm1995"	0.638842103783826	0.24263210695734	1.03505210061031	3.95751651225954	3.85904920146045	0.00694977289044614	0.0169603330356245	-2.82743764418484	"up"
"TC0300000805.mm.1"	"S100a2"	0.579621622113387	0.220133935652045	0.939109308574728	2.33495476779687	3.8589821744342	0.00695035204534722	0.0169607894325004	-2.8275277857725	"up"
"TC1400001445.mm.1"	"Fhit"	0.519265556237226	0.197209141274154	0.841321971200298	2.79206432149776	3.85895554429034	0.00695058216095055	0.0169607894325004	-2.82756359961381	"up"
"TC1800001666.mm.1"	"Atp9b"	-0.764785794595729	-1.23919391678211	-0.29037767240935	3.01134350558389	-3.85833480264675	0.00695594846669186	0.0169685673563897	-2.82839843927491	"down"
"TC0700004393.mm.1"	"4933402N03Rik"	0.713587674510687	0.27081533702775	1.15636001199362	1.96773642858584	3.857261419426	0.00696523859559528	0.0169851494878229	-2.82984216838774	"up"
"TC0900001066.mm.1"	"Gm25433"	0.689765981246697	0.261718690326706	1.11781327216669	1.64318208793699	3.85675660788868	0.00696961244893797	0.0169920148945172	-2.8305212097773	"up"
"TC0400003480.mm.1"	"Gm12900"	0.515160477767593	0.19546008688599	0.834860868649195	2.65661080266993	3.85666204351435	0.00697043212122841	0.016993253282798	-2.83064841596045	"up"
"TC0200000435.mm.1"	"Lcn11"	0.512745012616063	0.194532895737929	0.830957129494196	2.7188613317251	3.85653205623856	0.00697155900764024	0.0169937206109149	-2.83082327441685	"up"
"TC1500002233.mm.1"	"Mir3473a"	-2.41784931892179	-3.91857011515477	-0.917128522688797	10.9664137320444	-3.85604012825459	0.00697582544421405	0.0170033600834288	-2.83148503597207	"down"
"TC0200003029.mm.1"	"1810059C17Rik; RP23-32H12.2"	0.568527562738581	0.215607086966449	0.921448038510713	3.08895879865904	3.8555548163805	0.00698003731013772	0.0170098235996803	-2.83213793082177	"up"
