""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"TC0500000365.mm.1"	"Gm1673"	0.478599710652343	0.0919647212581925	0.865234700046494	4.47794171989115	2.96267144310617	0.0224817036970332	0.0405414355057912	-4.0839898436654	"no_sig"
"TC0700004048.mm.1"	"Olfr484"	0.604127696698623	0.116009681488337	1.09224571190891	1.57714341243842	2.9622119094317	0.0224958886423265	0.0405633281291622	-4.08465574416161	"up"
"TC0500003632.mm.1"	"Slc46a3"	0.458220889432964	0.087827773296332	0.828614005569596	3.06956071125537	2.96090307468159	0.0225363422977843	0.0406157816722234	-4.08655243555456	"no_sig"
"TC1300001419.mm.1"	"Gtpbp4"	-0.320697707848893	-0.579972893784089	-0.0614225219136974	2.3448502839343	-2.96037763856809	0.022552604388382	0.0406356858578172	-4.08731390476038	"no_sig"
"TC0700000419.mm.1"	"B3gnt8"	0.30188215708616	0.0578110722603153	0.545953241912004	3.42612218646578	2.96028365119717	0.0225555145896078	0.0406363898533304	-4.08745011472042	"no_sig"
"TC1900001107.mm.1"	"Tmem138"	0.279331235449827	0.0534918939272908	0.505170576972364	2.09250868117055	2.96027540510588	0.02255576993862	0.0406363898533304	-4.08746206529116	"no_sig"
"TC1400000363.mm.1"	"Gdf10"	0.465439310716649	0.0890810524355432	0.841797568997754	3.12237466679718	2.95987809261277	0.0225680767998227	0.0406555017568994	-4.08803787272755	"no_sig"
"TC0600000556.mm.1"	"Atp6v0e2"	-1.0023414149064	-1.81285660360305	-0.191826226209761	4.35352876407391	-2.95982974827847	0.0225695747675259	0.0406568567469733	-4.08810793683908	"down"
"TC0400001432.mm.1"	"9930104L06Rik"	0.252624376971311	0.048339794396426	0.456908959546196	2.87298434912434	2.95972852094028	0.0225727116790593	0.0406611639451554	-4.08825464339609	"no_sig"
"TC1000002063.mm.1"	"Afg1l"	0.258166361728038	0.0493738116862673	0.466958911769808	2.52803628479122	2.95935366357754	0.0225843321031513	0.0406753759835863	-4.08879792259482	"no_sig"
